country,total cases,new cases,total_death,new_death,total recovered,new recovered,active cases,serious,population
Ecuador,"1,040,463",,"35,940                                ",,"993,417","+1,111","11,106",759,"18,113,361 "
Panama,"1,023,778",,"8,567                                ",,"1,011,135",,"4,076",16,"4,446,964 "
Uruguay,"1,011,988",,"7,562                                ",,"996,795",,"7,631",18,"3,496,016 "
Mongolia,"1,007,266",,"2,179                                ",,"1,004,846",,241,192,"3,378,078 "
Nepal,"1,001,002",,"12,019                                ",,"988,954",,29,,"30,225,582 "
Belarus,"994,037",,"7,118                                ",,"985,592",,"1,327",,"9,432,800 "
Latvia,"973,830",,"6,161                                ",,"950,319",,"17,350",3,"1,848,837 "
Saudi Arabia,"827,032",,"9,520                                ",,"814,629",,"2,883",26,"35,844,909 "
Azerbaijan,"826,427",,"10,008                                ",,"815,946",,473,,"10,300,205 "
Paraguay,"792,215",,"19,688                                ",,N/A,N/A,N/A,7,"7,305,843 "
Bahrain,"698,774",,"1,539                                ",,"696,680",,555,1,"1,783,983 "
Sri Lanka,"671,893",,"16,817                                ",,"655,054",,22,,"21,575,842 "
Kuwait,"662,747",,"2,570                                ",,"660,095",,82,,"4,380,326 "
Dominican Republic,"650,990",,"4,384                                ",,"644,785",,"1,821",4,"11,056,370 "
Myanmar,"633,685",,"19,490                                ",,"608,312",,"5,883",,"55,227,143 "
Cyprus,"631,111",,"1,258                                ",,"620,843",,"9,010",60,"1,223,387 "
Palestine,"620,816",,"5,404                                ",,"614,962",,450,17,"5,345,541 "
Estonia,"611,891",,"2,854                                ",,"524,990",,"84,047",11,"1,321,910 "
Moldova,"596,550",,"11,933                                ",,"504,142",,"80,475",49,"4,013,171 "
Venezuela,"550,613",,"5,832                                ",,"543,320",,"1,461",36,"29,266,991 "
Egypt,"515,645",,"24,613                                ",,"442,182",,"48,850",122,"106,156,692 "
Libya,"507,142",,"6,437                                ",,"500,661",,44,,"7,040,745 "
Ethiopia,"498,157",,"7,572                                ",,"480,411",,"10,174",1,"120,812,698 "
Qatar,"489,576",,685                                ,,"488,224",,667,5,"2,979,915 "
Réunion,"480,501",,907                                ,,"418,572",,"61,022",10,"908,061 "
Honduras,"465,915",,"11,071                                ",,N/A,N/A,N/A,105,"10,221,247 "
Armenia,"445,976",,"8,716                                ",,"435,162",,"2,098",,"2,971,966 "
Bosnia and Herzegovina,"400,992",,"16,227                                ",,"378,769",,"5,996",,"3,249,317 "
Oman,"399,154",,"4,260                                ",,"384,669",,"10,225",2,"5,323,993 "
North Macedonia,"345,603",,"9,614                                ",,"335,749",,240,,"2,081,304 "
Kenya,"342,507",,"5,688                                ",,"336,756",,63,1,"56,215,221 "
Zambia,"334,629",,"4,024                                ",,"330,019",,586,,"19,470,234 "
Albania,"333,811",,"3,595                                ",,"328,606",,"1,610",,"2,866,374 "
Botswana,"327,860",,"2,794                                ",,"323,747",,"1,319",1,"2,441,162 "
Luxembourg,"297,757",,"1,133                                ",,"288,991",,"7,633",,"642,371 "
Montenegro,"284,756",,"2,791                                ",,"281,691",,274,6,"627,950 "
Algeria,"271,229",,"6,881                                ",,"182,650",,"81,698",,"45,350,148 "
Brunei ,"266,819",,225                                ,,"243,601",,"22,993",3,"445,431 "
Nigeria,"266,381",,"3,155                                ",,"259,759",,"3,467",11,"216,746,934 "
Zimbabwe,"259,981",,"5,637                                ",,"253,677",,667,12,"15,331,428 "
Uzbekistan,"249,217",,"1,637                                ",,"241,486",,"6,094",23,"34,382,084 "
Mozambique,"230,970",,"2,230                                ",,"228,663",,77,11,"33,089,461 "
Martinique,"224,826",,"1,076                                ",,N/A,N/A,N/A,8,"374,087 "
Laos,"217,797",,758                                ,,N/A,N/A,N/A,,"7,481,023 "
Iceland,"207,974",,229                                ,,N/A,N/A,N/A,2,"345,393 "
Afghanistan,"207,616",,"7,849                                ",,"185,469",,"14,298","1,124","40,754,388 "
Kyrgyzstan,"206,557",,"2,991                                ",,"196,406",,"7,160",131,"6,728,271 "
El Salvador,"201,785",,"4,230                                ",,"179,410",,"18,145",8,"6,550,389 "
Guadeloupe,"198,608",,997                                ,,N/A,N/A,N/A,19,"399,794 "
Trinidad and Tobago,"186,033",,"4,283                                ",,"181,621",,129,8,"1,406,585 "
Maldives,"185,678",,311                                ,,"163,687",,"21,680",25,"540,985 "
Ghana,"171,048",,"1,461                                ",,"169,581",,6,2,"32,395,450 "
Namibia,"170,295",,"4,082                                ",,"165,961",,252,,"2,633,874 "
Uganda,"169,985",,"3,630                                ",,"100,431",,"65,924",3,"48,432,863 "
Jamaica,"152,758",,"3,461                                ",,"101,951",,"47,346",,"2,985,094 "
Cambodia,"138,591",,"3,056                                ",,"135,462",,73,,"17,168,639 "
Rwanda,"132,920",,"1,467                                ",,"131,112",,341,,"13,600,464 "
Cameroon,"123,993",,"1,965                                ",,"118,616",,"3,412",13,"27,911,548 "
Malta,"116,414",,817                                ,,"114,902",,695,4,"444,033 "
Barbados,"105,515",,568                                ,,"104,913",,34,,"288,023 "
Angola,"105,095",,"1,930                                ",,"103,050",,115,,"35,027,343 "
Channel Islands,"99,549",,212                                ,,"98,026",,"1,311",,"176,463 "
French Guiana,"97,879",,415                                ,,"11,254",,"86,210",6,"314,169 "
DRC,"95,173",,"1,462                                ",,"84,159",,"9,552",,"95,240,792 "
Senegal,"88,900",,"1,968                                ",,"86,911",,21,,"17,653,671 "
Malawi,"88,220",,"2,685                                ",,"85,065",,470,67,"20,180,839 "
Ivory Coast,"87,941",,831                                ,,"87,099",,11,,"27,742,298 "
Suriname,"82,020",,"1,398                                ",,N/A,N/A,N/A,,"596,831 "
New Caledonia,"79,441",,314                                ,,"78,456",,671,9,"290,915 "
French Polynesia,"77,910",,649                                ,,N/A,N/A,N/A,7,"284,164 "
Eswatini,"74,034",,"1,422                                ",,"72,590",,22,,"1,184,817 "
Guyana,"72,163",,"1,286                                ",,"70,582",,295,,"794,045 "
Belize,"69,946",,688                                ,,"69,114",,144,6,"412,190 "
Fiji,"68,750",,881                                ,,"66,695",,"1,174",,"909,466 "
Madagascar,"67,735",,"1,416                                ",,"66,202",,117,,"29,178,077 "
Sudan,"63,686",,"4,994                                ",,"58,179",,513,,"45,992,020 "
Mauritania,"63,425",,997                                ,,"62,423",,5,,"4,901,981 "
Cabo Verde,"63,200",,412                                ,,"62,728",,60,23,"567,678 "
Bhutan,"62,524",,21                                ,,"61,564",,939,,"787,941 "
Syria,"57,423",,"3,163                                ",,"54,260",,0,,"19,364,809 "
Burundi,"51,722",,38                                ,,"51,357",,327,,"12,624,840 "
Seychelles,"50,355",,172                                ,,"50,026",,157,,"99,426 "
Gabon,"48,980",,306                                ,,"48,668",,6,,"2,331,533 "
Andorra,"47,751",,165                                ,,"47,500",,86,14,"77,463 "
Papua New Guinea,"46,663",,669                                ,,"43,982",,"2,012",7,"9,292,169 "
Curaçao,"45,986",,295                                ,,"44,720",,971,3,"165,529 "
Aruba,"43,752",,236                                ,,"42,438",,"1,078",2,"107,609 "
Tanzania,"42,351",,845                                ,,N/A,N/A,N/A,7,"63,298,550 "
Mayotte,"41,969",,187                                ,,N/A,N/A,N/A,,"286,259 "
Mauritius,"41,485",,"1,041                                ",,"39,752",,692,,"1,274,727 "
Togo,"39,343",,290                                ,,"39,048",,5,,"8,680,837 "
Guinea,"38,210",,466                                ,,"37,292",,452,8,"13,865,691 "
Isle of Man,"38,008",,116                                ,,N/A,N/A,N/A,,"85,732 "
Bahamas,"37,491",,833                                ,,"36,366",,292,1,"400,516 "
Faeroe Islands,"34,658",,28                                ,,N/A,N/A,N/A,5,"49,233 "
Lesotho,"34,490",,706                                ,,"25,980",,"7,804",,"2,175,699 "
Haiti,"33,904",,860                                ,,"32,954",,90,,"11,680,283 "
Mali,"32,770",,743                                ,,"31,950",,77,,"21,473,764 "
Cayman Islands,"31,472",,37                                ,,"8,553",,"22,882",1,"67,277 "
Saint Lucia,"29,741",,409                                ,,"29,095",,237,,"185,113 "
Benin,"27,982",,163                                ,,"27,817",,2,,"12,784,726 "
Somalia,"27,300",,"1,361                                ",,"13,182",,"12,757",,"16,841,795 "
Congo,"25,375",,386                                ,,"24,006",,983,,"5,797,805 "
Solomon Islands,"24,575",,153                                ,,N/A,N/A,N/A,1,"721,159 "
Timor-Leste,"23,386",,138                                ,,"23,102",,146,,"1,369,429 "
San Marino,"23,008",,121                                ,,"22,711",,176,4,"34,085 "
Micronesia,"22,203",,55                                ,,N/A,N/A,N/A,1,"117,489 "
Burkina Faso,"22,006",,395                                ,,"21,596",,15,,"22,102,838 "
Liechtenstein,"21,276",,88                                ,,"21,156",,32,2,"38,387 "
Gibraltar,"20,275",,110                                ,,"16,579",,"3,586",,"33,704 "
Grenada,"19,644",,238                                ,,"19,358",,48,4,"113,475 "
Bermuda,"18,622",,153                                ,,"18,423",,46,,"61,939 "
Nicaragua,"18,491",,225                                ,,"4,225",,"14,041",,"6,779,100 "
South Sudan,"18,368",,138                                ,,"18,115",,115,1,"11,618,511 "
Tajikistan,"17,786",,125                                ,,"17,264",,397,,"9,957,464 "
Equatorial Guinea,"17,186",,183                                ,,"16,880",,123,5,"1,496,662 "
Tonga,"16,211",,12                                ,,"15,638",,561,,"107,749 "
Samoa,"15,982",,29                                ,,"1,605",,"14,348",4,"202,239 "
Monaco,"15,948",,63                                ,,"15,844",,41,4,"39,783 "
Dominica,"15,760",,74                                ,,"15,673",,13,,"72,344 "
Djibouti,"15,690",,189                                ,,"15,427",,74,,"1,016,097 "
Marshall Islands,"15,547",,17                                ,,"15,528",,2,,"60,057 "
CAR,"15,351",,113                                ,,"14,615",,623,2,"5,016,678 "
Gambia,"12,586",,372                                ,,"12,189",,25,,"2,558,482 "
Saint Martin,"12,104",,63                                ,,"1,399",,"10,642",7,"39,730 "
Vanuatu,"12,013",,14                                ,,"11,976",,23,,"321,832 "
Greenland,"11,971",,21                                ,,"2,761",,"9,189",4,"56,973 "
Yemen,"11,945",,"2,159                                ",,"9,124",,662,23,"31,154,867 "
Caribbean Netherlands,"11,625",,38                                ,,"10,476",,"1,111",,"26,647 "
Sint Maarten,"10,988",,89                                ,,"10,873",,26,,"43,966 "
Eritrea,"10,189",,103                                ,,"10,086",,0,,"3,662,244 "
Niger,"9,931",,312                                ,,"8,890",,729,1,"26,083,660 "
St. Vincent Grenadines,"9,538",,119                                ,,"9,395",,24,,"111,551 "
Antigua and Barbuda,"9,106",,146                                ,,"8,954",,6,1,"99,509 "
Comoros,"8,982",,161                                ,,"8,819",,2,,"907,419 "
Guinea-Bissau,"8,947",,176                                ,,"8,656",,115,6,"2,063,367 "
Liberia,"8,043",,294                                ,,"7,741",,8,2,"5,305,117 "
Sierra Leone,"7,760",,126                                ,,N/A,N/A,N/A,,"8,306,436 "
Chad,"7,650",,194                                ,,"4,874",,"2,582",,"17,413,580 "
British Virgin Islands,"7,305",,64                                ,,N/A,N/A,N/A,,"30,596 "
Cook Islands,"6,607",,1                                ,,"6,384",,222,,"17,571 "
Saint Kitts and Nevis,"6,562",,46                                ,,"6,516",,0,,"53,871 "
Turks and Caicos,"6,479",,36                                ,,"6,423",,20,4,"39,741 "
Sao Tome and Principe,"6,279",,77                                ,,"6,202",,0,,"227,679 "
Palau,"5,971",,9                                ,,"5,958",,4,1,"18,233 "
St. Barth,"5,382",,6                                ,,N/A,N/A,N/A,,"9,945 "
Nauru,"4,621",,1                                ,,"4,609",,11,,"10,903 "
Anguilla,"3,904",,12                                ,,"3,879",,13,4,"15,230 "
Kiribati,"3,430",,13                                ,,"2,703",,714,3,"123,419 "
Wallis and Futuna,"3,415",,7                                ,,438,,"2,970",,"10,982 "
Saint Pierre Miquelon,"3,349",,2                                ,,"2,449",,898,1,"5,759 "
Tuvalu,"2,805",, ,,,,"2,805",,"12,066 "
Macao,"2,615",,47                                ,,"1,803",,765,,"667,490 "
Falkland Islands,"1,930",, ,,"1,930",,0,,"3,539 "
Saint Helena,"1,806",, ,,2,,"1,804",,"6,115 "
Montserrat,"1,403",,8                                ,,"1,376",,19,,"4,965 "
Diamond Princess,712,,13                                ,,699,,0,, 
Niue,501,, ,,341,,160,,"1,622 "
Vatican City,29,, ,,29,,0,,799 
Western Sahara,10,,1                                ,,9,,0,,"626,161 "
MS Zaandam,9,,2                                ,,7,,0,, 
Tokelau,5,, ,,,,5,,"1,378 "
China,"435,472",,"5,249                                ",,"363,566",,"66,657","2,416","1,448,471,400                                "
